7630,4038
7926,-312
-475,-931
1580,9210
-649,2939
4462,8169
8880,6502
1860,-880
1214,3459
5930,5737
-274,5733
2321,4821
7036,7506
7410,-8
6353,4644
164,6469
2871,-221
7675,6333
6184,6225
3271,2361
9885,5786
7716,2055
8890,4768
1240,2741
4632,9069
3319,8138
2923,1934
8814,7263
2708,3132
4756,-403
9759,3599
8872,842
7489,6549
3249,5148
7648,3685
8878,3621
2714,8074
4713,5852
8188,3061
8759,-25
3111,6924
3478,4207
6251,5488
1069,9020
4828,4163
2728,3049
8836,7722
-576,8886
8971,7436
9509,1537
-887,1802
1111,257
2110,-413
-397,5392
7650,9701
7651,9172
-769,8415
6334,3652
5289,2247
-746,726
8231,6765
3868,-408
-110,1174
8576,5544
1698,-92
2289,387
-140,5958
2173,9248
9554,3211
4844,2253
113,1532
8618,9619
9571,5356
2872,8293
2071,-412
3589,3832
1219,3273
6993,4450
276,5331
9293,6215
2091,-690
5844,1324
4533,9116
8715,4773
9927,2210
6751,8564
5147,2379
3318,5266
-437,2551
1718,9282
6162,7408
1521,4037
1010,8660
7266,0
7813,4101
-637,63
-575,5445
8240,3007
9878,7972
9188,-567
3202,8599
986,1585
1067,6337
6385,2678
8261,8987
5711,2982
6172,6025
87,6140
2403,1991
9415,449
7138,262
7763,1376
133,707
7535,9617
1591,313
9817,3490
3422,2032
7162,4983
4766,8134
4925,1917
3616,8829
5262,3515
4629,8356
504,-240
8657,5193
1101,9683
9104,4257
858,8930
4462,3845
932,5020
4719,645
1513,8304
6342,6058
5185,6769
3322,8679
362,2278
9814,1855
1568,-888
650,9211
7561,8216
6103,4915
9923,817
1078,-265
2808,3171
103,4202
1569,8478
9439,9368
9890,3981
6265,2092
6314,4370
484,2520
5869,2938
9921,2255
4058,8512
7210,602
-362,1108
9178,3019
1518,6245
870,4279
3682,-651
7318,6365
4335,698
8860,5669
-338,3226
4201,3329
7854,8859
8296,487
-157,2864
1093,8269
5840,9529
8783,2512
219,7101
9194,9420
-297,5780
9269,339
8532,8501
2118,6158
8127,3235
6477,1127
5378,987
281,177
3294,601
7119,8169
3562,5310
2932,2398
8226,2056
8788,3415
2961,3739
3539,3519
9289,6378
1129,1069
3737,8486
8312,7653
5005,7792
6902,5880
3391,1650
4672,-505
5623,6377
3323,2828
7093,8190
5122,7504
2719,5518
7764,3082
3,3307
2420,-559
646,1873
3612,3208
8006,1539
6000,1427
9298,3573
8484,3561
6676,6579
2474,7158
-55,9909
1743,2770
6926,2673
9412,8113
4716,8283
9563,246
5427,461
7143,2623
6980,6109
4547,3054
1518,9232
8881,3374
9828,2239
8282,301
35,-723
9697,6962
9120,317
2771,-215
7268,8265
156,2820
8938,6359
3856,-254
4468,8260
7576,3088
3335,861
4630,9155
1079,3933
3864,2083
592,2010
7771,5217
742,5327
5037,6771
2991,7525
4321,3063
2193,9623
2078,6795
884,2411
9931,3017
105,9522
7552,3371
5879,7371
5393,2458
8646,-32
368,1767
121,9355
9971,38
3792,7247
-583,-129
7781,-454
5153,3963
5773,2457
-348,8084
7058,9075
274,8720
587,9811
-965,-723
9513,9998
7298,7932
2232,4446
4501,2206
3023,1259
9338,5092
4109,-333
3597,3680
9402,7290
-821,-364
6661,-629
9069,6736
7924,-742
2420,7542
6125,2781
4589,7197
2439,4930
1128,6344
7739,2477
9839,5522
7778,7638
5507,-166
8863,-711
5081,3220
8038,3741
2307,5838
7424,7533
5784,7136
7113,2982
513,9913
3037,1340
-975,1077
3733,4837
9533,8137
1083,-39
1687,8180
1204,8632
4335,1059
1980,4791
7608,1271
8315,5980
4001,4712
-265,9388
8602,-689
4321,9588
7356,4259
4086,2274
1049,3691
3769,3496
3447,8570
-617,2909
3075,235
2032,4130
1029,2441
-997,1507
2930,7817
1618,2840
9866,-377
8828,7233
6212,5488
3521,843
6857,9433
2426,1022
1266,-785
1966,1347
6466,8749
3273,9996
9607,7298
5653,2533
9126,3762
165,9082
9166,2703
-193,540
5904,-495
3066,-754
4754,9241
4899,5809
2171,6694
4462,3530
6509,7978
5209,7596
5848,-2
4955,3425
1860,1619
-884,2398
8285,7181
-718,8790
6995,4460
1770,2067
-648,6973
4068,4523
7117,-16
1816,2764
4069,-442
4594,9025
6073,5494
2226,5629
3750,6771
2312,175
8288,7953
9194,5256
2889,6208
2217,3857
8739,4929
1121,7201
9763,6259
1279,2181
8781,-147
3850,9790
553,8304
222,-448
7635,7057
3386,9353
7818,-637
5698,7882
9433,437
1092,9815
5289,9894
6478,7234
5291,1410
6132,3639
1715,1715
-364,3185
9655,8329
8452,195
8699,3481
7411,7047
1220,4257
9652,1185
-28,-761
6497,4612
9080,6898
1232,708
7687,7801
-210,4130
-996,9827
5723,6598
6285,-6
6385,761
8869,6088
2266,2677
2378,8563
4031,410
4414,6846
-147,7277
4910,5266
6597,42
2313,2286
3149,1143
7283,280
5177,6691
5759,9727
3742,4441
3083,-267
165,-182
1700,6449
9272,8738
729,6258
-959,5804
-4,8004
1897,6479
8425,4396
5602,6954
8860,8808
-991,4360
5429,8419
3415,-794
8198,7608
3798,7839
7756,3382
2883,2845
-811,5022
7538,3254
853,4535
-8,5811
-54,3882
-838,2449
962,9285
2456,2966
882,-26
3063,-204
9194,1108
8236,1127
-956,5577
7717,8314
6453,-369
463,2857
5864,2225
1192,6851
7381,8356
5374,3431
3219,1798
-123,1186
6168,5475
8335,6965
3522,9352
967,2122
4699,1615
-298,3817
1036,1446
5366,1107
5818,5930
8515,8855
9001,919
8052,2646
-893,1728
620,-744
6801,9839
5227,8383
5895,3029
8509,6641
7831,3563
4893,1235
2257,-722
4558,5595
7113,6609
4405,3076
5142,-492
5848,6886
9932,2707
6702,3697
-969,9881
-958,1764
164,8442
7471,5018
2526,8222
7517,724
2676,465
9013,8228
4783,8540
7035,3958
7096,358
-930,4038
2480,4103
3245,942
1744,3575
5879,5173
3131,-621
5490,-273
3978,2073
7716,2058
8222,1132
2377,352
4737,7426
2696,3438
6938,3263
4033,6402
682,6658
1435,-606
-141,6835
2426,2585
8585,2829
-695,3879
-878,3536
-963,9012
8735,8715
6733,7384
3863,2174
8070,6640
5948,5744
6579,6120
4647,3809
4562,3920
9733,320
880,9779
3103,4347
-383,7692
7054,3399
2591,896
-378,9851
9007,1896
5103,2298
7051,5141
9963,9997
5350,-200
3426,2833
4090,5332
5437,6506
8090,5099
1146,6026
2928,460
1603,7253
6880,1010
5417,9649
4350,5626
2585,8145
8837,324
8261,202
2820,9245
5301,5801
9387,503
3468,2734
8625,3645
8007,2205
7358,6875
7454,1696
5381,6289
-387,-73
9395,4598
4972,-211
1226,8516
277,6829
5973,-359
6439,2620
5527,2490
1888,4677
4783,4798
736,7844
-674,5739
1249,-370
1180,2877
6636,6012
8843,2775
6129,6983
8756,8633
7259,8931
6271,3248
8856,8359
8238,-111
8186,3540
5141,3974
9592,1978
5939,29
6788,3287
3432,964
432,40
7775,7498
4341,2576
1788,6990
3376,875
2018,6826
6970,8880
2658,7103
6357,966
7328,4122
8255,6091
-798,6981
9762,7824
2325,596
-52,9917
3403,1043
7923,8551
13,3721
2896,-483
3157,7172
2782,1881
6234,1536
3336,463
6811,1055
-543,9765
-651,5199
3447,8837
5297,8518
1638,6779
4617,7544
5193,6036
5798,8089
2416,2144
150,2072
513,1707
962,3029
4779,1789
256,1996
7946,5967
3181,8353
4631,2627
4067,8175
5241,9519
3962,4017
1991,1903
2665,3098
4324,489
-64,3931
9680,2144
765,1323
6692,1239
7085,-913
-182,8728
5453,8014
1130,2455
7629,8300
7117,7301
1035,3718
5936,9844
9108,3946
6699,1201
8992,2932
7655,1738
2143,4036
8398,4642
9620,2780
